Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,279,1,140.0,1730.5395096774469,102.83329999947455,32555.663099999947,2.068100358422939,1.5501544600984385,0.0055561091759800665,140,160,210,330,6300,10000,19000,22000,33000,33000,33000
GET,/api/videos,253,61,150.0,2406.1728561264813,103.5388000018429,37296.56620000242,111.6403162055336,1.4056956215229568,0.3389226597347841,150,210,290,1800,9400,16000,24000,27000,37000,37000,37000
PUT,/api/videos/publish,117,0,140.0,1700.6609393164636,102.00040000199806,38942.884899999626,41.965811965811966,0.6500647735896677,0.0,140,150,170,210,2500,14000,23000,23000,39000,39000,39000
GET,/api/videos/video_id,55,0,130.0,164.3195763635793,109.00369999944814,513.8205999974161,277.4909090909091,0.3055860046789037,0.0,130,150,170,190,200,430,470,510,510,510,510
POST,/auth/login,100,20,9000.0,13853.714788999972,1196.0344000035548,38618.65469999975,312.24,0.5556109175980066,0.11112218351960133,9000,15000,21000,23000,34000,36000,38000,39000,39000,39000,39000
POST,/auth/signup,100,14,19000.0,20645.18989900004,861.0988000000361,42850.79740000219,89.8,0.5556109175980066,0.07778552846372093,19000,25000,34000,35000,37000,39000,42000,43000,43000,43000,43000
GET,/health,236,0,140.0,372.7609843220199,99.36429999652319,5700.622599997587,20.0,1.3112417655312958,0.0,140,180,250,390,1100,1400,2400,3000,5700,5700,5700
GET,/rankings,240,4,140.0,2308.255566249981,106.04730000341078,37865.41329999818,2.316666666666667,1.333466202235216,0.022224436703920266,140,170,220,470,7200,15000,34000,37000,38000,38000,38000
POST,/videos/upload,167,5,16000.0,15633.853788023893,1213.5794999994687,40374.350400001276,113.1556886227545,0.9278702323886711,0.027780545879900333,16000,20000,23000,24000,29000,33000,37000,39000,40000,40000,40000
UPLOAD_SUCCESS,upload_latency,162,0,15000.0,14965.712612057909,1216.3293361663818,40374.165534973145,1048576.0,0.9000896865087707,0.0,15000,19000,22000,24000,26000,29000,33000,35000,40000,40000,40000
,Aggregated,1709,105,200.0,6101.076410271146,99.36429999652319,42850.79740000219,99463.24341720305,9.495390581749934,0.5833914634779069,200,3800,9700,13000,22000,28000,35000,37000,42000,43000,43000
