Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,602,13,180.0,4568.121773920325,108.99329999665497,35462.43020000111,2.5780730897009967,2.0071446537311273,0.043343655313130655,180,2200,5000,6800,17000,24000,33000,33000,35000,35000,35000
GET,/api/videos,604,150,170.0,3925.314351821094,102.93300000193994,37287.24670000156,164.56953642384107,2.013812908394686,0.5001190997668922,170,1100,3200,5500,16000,27000,33000,33000,37000,37000,37000
PUT,/api/videos/publish,336,8,150.0,2945.7345360121412,107.08339999837335,35717.61120000156,45.461309523809526,1.1202667834778384,0.02667301865423425,150,190,660,2300,8200,22000,32000,33000,36000,36000,36000
GET,/api/videos/video_id,174,1,150.0,663.9868931034398,112.48569999588653,32322.252999998454,275.9022988505747,0.5801381557295949,0.0033341273317792812,150,160,180,210,530,1800,7000,19000,32000,32000,32000
POST,/auth/login,200,32,6200.0,11612.533041500077,650.1900000002934,34454.90710000013,325.175,0.6668254663558562,0.106692074616937,6200,13000,17000,19000,31000,33000,33000,34000,34000,34000,34000
POST,/auth/signup,200,20,9200.0,12915.848922499912,477.91309999956866,37493.28030000106,93.665,0.6668254663558562,0.06668254663558562,9200,15000,18000,20000,32000,34000,36000,37000,37000,37000,37000
GET,/health,626,1,150.0,509.4509766771889,102.75589999946533,6546.5266999999585,20.162939297124602,2.08716370969383,0.0033341273317792812,150,360,600,760,1300,1800,3000,3300,6500,6500,6500
GET,/rankings,575,27,170.0,4969.850578087086,106.82600000291131,38369.39050000001,3.243478260869565,1.9171232157730866,0.09002143795804059,170,1500,4300,6700,20000,32000,33000,34000,38000,38000,38000
POST,/videos/upload,457,39,18000.0,17306.176868052466,1183.3408999991661,44236.49689999729,108.11378555798687,1.5236961906231314,0.13003096593939195,18000,22000,23000,24000,35000,36000,40000,43000,44000,44000,44000
UPLOAD_SUCCESS,upload_latency,418,0,16000.0,15627.472342486586,1965.1730060577393,44130.69438934326,1048576.0,1.3936652246837395,0.0,16000,22000,22000,23000,27000,35000,37000,40000,44000,44000,44000
,Aggregated,4192,291,1100.0,6858.221076898749,102.75589999946533,44236.49689999729,104631.83802480916,13.976661774818746,0.9702310535477707,1100,5800,9000,15000,22000,32000,35000,36000,44000,44000,44000
