Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,715,0,270.0,709.277896503574,105.58860000310233,6804.965900002571,2.0,2.38392441166049,0.0,270,580,870,1200,1800,2700,3800,4300,6800,6800,6800
GET,/api/videos,721,0,300.0,771.6168997226088,106.30919999675825,6634.273000003304,289.1497919556172,2.4039293717583403,0.0,300,680,1100,1400,2100,2600,3900,4200,6600,6600,6600
PUT,/api/videos/publish,524,0,270.0,747.7600437024603,106.86790000181645,6567.090600001393,47.61832061068702,1.7470998485455898,0.0,270,610,990,1200,2000,2800,3700,4000,6600,6600,6600
GET,/api/videos/video_id,385,0,260.0,728.4923755842739,113.0611000044155,6486.878499999875,277.0961038961039,1.2836516062787253,0.0,260,530,910,1300,1900,2600,4100,4300,6500,6500,6500
POST,/auth/login,200,0,840.0,1221.480257000003,609.7812000007252,6098.958800001128,382.0,0.6668320032616755,0.0,840,1300,1400,1600,2200,3100,3700,4600,6100,6100,6100
POST,/auth/signup,200,8,1200.0,1484.8652909998054,222.33480000431882,4351.107200003753,98.44,0.6668320032616755,0.02667328013046702,1200,1500,1900,2000,2700,3400,4000,4200,4400,4400,4400
GET,/health,742,1,210.0,331.7683030996273,105.33910000231117,4258.111900002405,20.137466307277627,2.473946732100816,0.0033341600163083775,220,340,460,530,680,750,1100,1300,4300,4300,4300
GET,/rankings,696,1,280.0,699.3567070401529,106.13740000553662,5834.659300002386,2.1724137931034484,2.320575371350631,0.0033341600163083775,280,590,880,1200,1900,2600,3300,4000,5800,5800,5800
POST,/videos/upload,588,2,12000.0,22630.9164899661,1045.1679999969201,102207.27150000312,115.60544217687075,1.960486089589326,0.006668320032616755,12000,30000,38000,43000,54000,60000,62000,75000,102000,102000,102000
UPLOAD_SUCCESS,upload_latency,586,0,12000.0,22501.367734967644,1039.1488075256348,102206.63142204285,1048576.0,1.9538177695567092,0.0,12000,30000,38000,42000,54000,60000,62000,75000,102000,102000,102000
,Aggregated,5357,12,620.0,5507.324837705995,105.33910000231117,102207.27150000312,114800.74575322008,17.861095207363977,0.04000992019570053,620,1400,2400,3700,14000,40000,55000,61000,79000,102000,102000
