Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,1169,2,920.0,2319.3781928998274,106.44809999939753,23835.654599999543,2.2053036783575704,3.8919346621004185,0.006658570850471203,920,2400,3300,3800,6100,8900,13000,15000,23000,24000,24000
GET,/api/videos,1166,2,680.0,2221.1278476844373,110.08919999585487,30090.234399998735,232.67924528301887,3.8819468058247115,0.006658570850471203,690,2400,3400,3900,6200,8200,10000,14000,25000,30000,30000
PUT,/api/videos/publish,844,2,360.0,1969.4397268959822,109.41599999932805,29045.896199997514,46.41943127962085,2.8099168988988477,0.006658570850471203,360,1900,2800,3400,5700,7700,11000,14000,29000,29000,29000
GET,/api/videos/video_id,555,1,330.0,1867.0037010811916,117.4962000004598,22185.41389999882,277.1135135135135,1.847753411005759,0.0033292854252356015,330,1400,2700,3400,5400,8300,10000,15000,22000,22000,22000
POST,/auth/login,400,1,2600.0,3336.289886250031,121.57260000094539,21713.936699998158,384.1175,1.3317141700942408,0.0033292854252356015,2600,3500,4000,4400,6100,9000,13000,20000,22000,22000,22000
POST,/auth/signup,400,1,3500.0,4073.1177854999614,402.3639999941224,17575.3945999968,101.0525,1.3317141700942408,0.0033292854252356015,3500,4600,5100,5700,7900,10000,13000,16000,18000,18000,18000
GET,/health,1205,0,290.0,455.08411278008924,107.05220000090776,3092.6897000026656,20.0,4.0117889374089,0.0,290,420,600,690,1000,1300,1800,2200,2900,3100,3100
GET,/rankings,1177,1,750.0,1990.7366580289354,103.65939999610418,31531.824400000914,2.016142735768904,3.918568945502303,0.0033292854252356015,750,2100,2700,3200,5200,7700,9800,12000,30000,32000,32000
POST,/videos/upload,895,1,18000.0,25466.258041564164,662.1454999985872,81645.51460000075,116.00670391061452,2.9797104555858636,0.0033292854252356015,18000,27000,46000,51000,54000,56000,71000,74000,82000,82000,82000
UPLOAD_SUCCESS,upload_latency,894,0,18000.0,25493.999770290367,1442.0702457427979,81644.47379112244,1048576.0,2.9763811701606278,0.0,18000,27000,46000,51000,54000,56000,71000,74000,82000,82000,82000
,Aggregated,8705,11,1600.0,6828.116665645024,103.65939999610418,81645.51460000075,107779.2267662263,28.98142962667591,0.03662213967759162,1600,3800,5900,8000,19000,47000,54000,56000,76000,82000,82000
