Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,1564,71,400.0,7258.718122314493,104.62160000315635,60110.14879999857,3.0626598465473145,5.203406402591501,0.236216019554985,410,2700,5900,12000,31000,38000,51000,53000,58000,60000,60000
GET,/api/videos,1017,49,550.0,7108.973942084532,108.7931000001845,60103.89209999994,119.7708947885939,3.3835449561608413,0.16302232335484879,550,3300,6700,11000,29000,35000,50000,51000,56000,60000,60000
PUT,/api/videos/publish,591,13,230.0,4440.443284940874,108.86020000179997,53836.45139999862,41.54822335025381,1.9662488388309314,0.04325082048189866,230,720,1800,2600,17000,33000,45000,50000,54000,54000,54000
GET,/api/videos/video_id,265,4,220.0,2490.235412829993,118.70420000195736,53568.52410000283,274.1132075471698,0.8816513405925497,0.013307944763661126,220,290,790,1100,3000,16000,34000,48000,54000,54000,54000
POST,/auth/login,600,130,9200.0,15861.699710666546,202.83129999734228,60111.29799999617,309.1716666666667,1.996191714549169,0.4325082048189866,9200,19000,27000,32000,35000,45000,51000,53000,60000,60000,60000
POST,/auth/signup,600,69,13000.0,18050.99288849986,330.0721999985399,58779.70159999677,92.13666666666667,1.996191714549169,0.22956204717315443,13000,21000,29000,33000,37000,43000,50000,54000,59000,59000,59000
GET,/health,1505,3,220.0,2795.760053754155,101.63509999983944,53167.29740000301,20.20332225913621,5.007114217327499,0.009980958572745845,220,530,790,1000,2600,22000,42000,50000,53000,53000,53000
GET,/rankings,1500,69,410.0,6820.589177000021,106.7752999952063,60113.96480000258,3.284666666666667,4.990479286372922,0.22956204717315443,420,2300,5000,8000,31000,38000,50000,52000,59000,60000,60000
POST,/videos/upload,682,72,27000.0,27270.039491202468,163.438399998995,62443.800400003965,106.11876832844575,2.269004582204222,0.2395430057459003,27000,35000,39000,42000,47000,51000,54000,58000,62000,62000,62000
UPLOAD_SUCCESS,upload_latency,610,0,24000.0,25964.831583226314,1412.4300479888916,62441.37763977051,1048576.0,2.029461576458322,0.0,24000,32000,37000,42000,48000,51000,54000,56000,62000,62000,62000
,Aggregated,8934,480,1500.0,10195.825880106122,101.63509999983944,62443.800400003965,71659.23919856727,29.723294629637127,1.5969533716393352,1500,7900,16000,22000,34000,44000,51000,53000,60000,62000,62000
