Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,1043,15,1600.0,5223.578730584912,117.54459999792743,33336.76540000306,2.466922339405561,3.4743760613025803,0.04996705744922215,1600,4400,7400,10000,16000,22000,30000,32000,33000,33000,33000
GET,/api/videos,888,21,2800.0,6245.360423986455,125.20029999723192,34538.72499999852,108.89189189189189,2.958049800993951,0.06995388042891101,2800,5700,9400,12000,18000,25000,31000,33000,35000,35000,35000
PUT,/api/videos/publish,544,9,590.0,4719.121272242442,156.47409999655792,34218.69909999805,41.693014705882355,1.8121386168251232,0.02998023446953329,600,3600,6500,8800,15000,20000,30000,32000,34000,34000,34000
GET,/api/videos/video_id,216,5,390.0,4413.292824074333,174.28629999631085,35193.09749999957,272.51851851851853,0.719525627268799,0.016655685816407383,390,1500,4500,6800,15000,26000,31000,33000,35000,35000,35000
POST,/auth/login,500,27,5400.0,8478.502900199745,177.72990000230493,40068.66499999887,367.812,1.6655685816407382,0.08994070340859987,5400,9500,12000,15000,18000,25000,32000,33000,40000,40000,40000
POST,/auth/signup,500,20,8000.0,10828.175730600069,638.0380000045989,37124.14700000227,98.002,1.6655685816407382,0.06662274326562953,8000,13000,15000,17000,24000,31000,33000,34000,37000,37000,37000
GET,/health,977,3,440.0,782.2794288636281,115.02699999982724,7821.345100004692,20.313203684749233,3.2545210085260026,0.00999341148984443,440,700,1000,1200,1700,2500,4200,4700,7800,7800,7800
GET,/rankings,992,27,1500.0,5473.399969657211,114.95799999829615,38911.682899997686,3.2298387096774195,3.304488065975225,0.08994070340859987,1500,4100,7500,11000,17000,26000,31000,33000,39000,39000,39000
POST,/videos/upload,533,43,28000.0,32729.530089493393,183.04209999769228,102846.33860000031,109.47279549718574,1.775496108029027,0.14323889802110348,28000,34000,38000,42000,72000,92000,98000,100000,103000,103000,103000
UPLOAD_SUCCESS,upload_latency,490,0,26000.0,32672.268327888178,1475.3329753875732,102845.31450271606,1048576.0,1.6322572100079236,0.0,26000,32000,37000,42000,80000,92000,99000,100000,103000,103000,103000
,Aggregated,6683,170,3200.0,9549.01032474408,114.95799999829615,102846.33860000031,76956.06164896005,22.26198966221011,0.566293317757851,3200,8200,14000,17000,28000,35000,57000,90000,100000,103000,103000
