Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,11,0,120.0,166.77769090826834,107.01870000048075,643.5160000000906,2.0,0.17564101545020305,0.0,120,130,130,130,130,640,640,640,640,640,640
GET,/api/videos,9,0,120.0,241.4639666668437,114.23669999931008,1195.0434999998834,71.44444444444444,0.14370628536834795,0.0,120,120,130,130,1200,1200,1200,1200,1200,1200,1200
PUT,/api/videos/publish,9,0,120.0,123.51873333399352,115.24179999832995,131.293900001765,39.333333333333336,0.14370628536834795,0.0,120,120,130,130,130,130,130,130,130,130,130
GET,/api/videos/video_id,2,0,114.90240000057383,119.7491999992053,114.90240000057383,124.59599999783677,276.0,0.0319347300818551,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/auth/login,5,0,660.0,962.3558400002366,646.424599999591,1855.5941000013263,382.0,0.07983682520463775,0.0,660,990,990,1900,1900,1900,1900,1900,1900,1900,1900
POST,/auth/signup,5,0,1100.0,1345.080980000057,864.5443000023079,1962.3355000003357,101.0,0.07983682520463775,0.0,1100,1800,1800,2000,2000,2000,2000,2000,2000,2000,2000
GET,/health,6,0,110.0,116.58274999960365,106.31030000149622,125.18479999926058,20.0,0.0958041902455653,0.0,120,120,120,120,130,130,130,130,130,130,130
GET,/rankings,8,0,120.0,177.55413750001026,113.64839999805554,602.00260000056,2.0,0.1277389203274204,0.0,120,120,120,120,600,600,600,600,600,600,600
POST,/videos/upload,11,0,2700.0,2577.0167181819324,1414.6469999977853,4078.3193000024767,116.0,0.17564101545020305,0.0,2700,2900,3000,3000,3200,4100,4100,4100,4100,4100,4100
UPLOAD_SUCCESS,upload_latency,11,0,2600.0,2577.365225011652,1414.8101806640625,4076.8649578094482,1048576.0,0.17564101545020305,0.0,2600,2900,3000,3000,3200,4100,4100,4100,4100,4100,4100
,Aggregated,77,0,130.0,983.3014594172142,106.31030000149622,4078.3193000024767,149866.67532467534,1.2294871081514214,0.0,130,1100,1800,2400,2900,3200,4100,4100,4100,4100,4100
