Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/public/videos,1143,17,350.0,4384.98945214354,115.85600000398699,34601.08459999901,2.3709536307961505,3.8072769534228867,0.056626166411364025,350,3600,5400,7000,14000,20000,30000,32000,34000,35000,35000
GET,/api/videos,1003,30,520.0,4939.4821122630465,115.08869999670424,39285.06419999758,142.07676969092722,3.3409438182704774,0.09992852896123063,520,4500,6000,7600,15000,23000,32000,33000,37000,39000,39000
PUT,/api/videos/publish,554,5,280.0,3438.6792750902828,145.25329999742098,36223.70590000355,41.59025270758123,1.8453468348173923,0.01665475482687177,280,1400,3800,5200,11000,18000,29000,32000,36000,36000,36000
GET,/api/videos/video_id,276,4,260.0,2556.160376449305,130.76539999747183,33516.90270000108,274.27536231884056,0.9193424664433217,0.013323803861497417,260,310,570,2700,7500,15000,32000,33000,34000,34000,34000
POST,/auth/login,480,37,5600.0,8926.155495208362,163.442799996119,40485.57480000454,359.3875,1.59885646337969,0.12324518571885111,5600,8300,11000,14000,22000,31000,33000,35000,40000,40000,40000
POST,/auth/signup,480,19,7000.0,10505.881461041758,578.9826000036555,39039.55300000234,98.25416666666666,1.59885646337969,0.06328806834211273,7000,11000,14000,17000,26000,32000,33000,34000,39000,39000,39000
GET,/health,1144,0,290.0,660.8907779719859,108.233899998595,10883.17829999869,20.0,3.8106079043882612,0.0,290,520,780,930,1400,2000,3800,5200,9600,11000,11000
GET,/rankings,1141,25,340.0,4307.79372252405,119.9955999982194,39521.41719999781,2.681858019281332,3.800615051492138,0.08327377413435885,340,3400,5300,6800,13000,19000,31000,33000,34000,40000,40000
POST,/videos/upload,672,37,31000.0,38674.882600595505,128.7268000014592,102659.12620000017,111.67113095238095,2.238399048731566,0.12324518571885111,31000,45000,56000,68000,79000,83000,86000,86000,103000,103000,103000
UPLOAD_SUCCESS,upload_latency,635,0,30000.0,38784.380838814686,2317.301034927368,102658.9617729187,1048576.0,2.115153863012715,0.0,30000,44000,57000,69000,79000,84000,86000,86000,103000,103000,103000
,Aggregated,7528,174,2400.0,10386.969241677369,108.233899998595,102659.12620000017,88524.22489373008,25.075398867338137,0.5795854679751377,2400,6600,12000,18000,31000,52000,77000,83000,87000,103000,103000
